,C,Linear,Poly,RBF
0,0.0001,"(0.7415760869565218, 0.758957654723127)","(0.6043478260869565, 0.6123778501628665)","(0.6043478260869565, 0.6123778501628665)"
1,0.001,"(0.8932065217391304, 0.8892508143322475)","(0.6057065217391304, 0.6134636264929425)","(0.6043478260869565, 0.6123778501628665)"
2,0.01,"(0.9230978260869566, 0.9153094462540716)","(0.6304347826086957, 0.6362649294245385)","(0.7567934782608695, 0.753528773072747)"
3,0.1,"(0.9331521739130435, 0.9250814332247557)","(0.7317934782608696, 0.738327904451683)","(0.9173913043478261, 0.9033659066232356)"
4,1.0,"(0.9334239130434783, 0.9229098805646037)","(0.8576086956521739, 0.8490770901194354)","(0.9505434782608696, 0.9305103148751357)"
5,5.0,"(0.9334239130434783, 0.9261672095548317)","(0.936141304347826, 0.9109663409337676)","(0.9614130434782608, 0.9348534201954397)"
6,10.0,"(0.9347826086956522, 0.9250814332247557)","(0.9524456521739131, 0.9207383279044516)","(0.9679347826086957, 0.9359391965255157)"
7,100.0,"(0.9353260869565218, 0.9185667752442996)","(0.972554347826087, 0.9272529858849077)","(0.9864130434782609, 0.9153094462540716)"
8,300.0,"(0.935054347826087, 0.9185667752442996)","(0.9782608695652174, 0.9294245385450597)","(0.9915760869565218, 0.9174809989142236)"
9,500.0,"(0.935054347826087, 0.9185667752442996)","(0.9817934782608696, 0.9250814332247557)","(0.9923913043478261, 0.9098805646036916)"
